,category,hour,location,name,price,url,year
684,FORKLIFTS,9050Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FBC30N-AC 2013,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FBC30N-AC/2464678/detail_view.html,2013
685,FORKLIFTS,0Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG25 2012,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG25/2540644/detail_view.html,2012
686,FORKLIFTS,4241Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG25 2012,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG25/2540643/detail_view.html,2012
687,FORKLIFTS,0Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG25 2012,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG25/2540641/detail_view.html,2012
688,FORKLIFTS,4390Hours,"SantaMaria,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG25 2012,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG25/2540640/detail_view.html,2012
689,FORKLIFTS,1983Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG25 2012,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG25/2540642/detail_view.html,2012
690,FORKLIFTS,6349Hours,"Oxnard,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG30N-LE 2011,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG30N-LE/2500175/detail_view.html,2011
691,FORKLIFTS,6265Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG30N-LE 2011,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG30N-LE/2500176/detail_view.html,2011
692,FORKLIFTS,1690Hours,"SantaMaria,CA,UnitedStates",MANITOU BF S.A. FORKLIFTS M40-2T 2011,$Call,/en/MANITOU%20BF%20S.A./FORKLIFTS/M40-2T/2530830/detail_view.html,2011
693,FORKLIFTS,8231Hours,"Yuma,AZ,UnitedStates",CATERPILLAR LIFT TRUCKS FORKLIFTS 2P6000-LE 2011,$Call,/en/CATERPILLAR%20LIFT%20TRUCKS/FORKLIFTS/2P6000-LE/2279499/detail_view.html,2011
694,FORKLIFTS,8412Hours,"Bakersfield,CA,UnitedStates",CATERPILLAR LIFT TRUCKS FORKLIFTS E3000-AC 2010,$Call,/en/CATERPILLAR%20LIFT%20TRUCKS/FORKLIFTS/E3000-AC/2279517/detail_view.html,2010
695,FORKLIFTS,6192Hours,"Yuma,AZ,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FGC25N 2010,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FGC25N/2493926/detail_view.html,2010
696,FORKLIFTS,8477Hours,"Oxnard,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG40 2009,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG40/2516183/detail_view.html,2009
697,FORKLIFTS,5623Hours,"Oxnard,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FG40 2009,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FG40/2514715/detail_view.html,2009
698,FORKLIFTS,6126Hours,"Fresno,CA,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FB18NT-AC 2007,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FB18NT-AC/2529817/detail_view.html,2007
699,FORKLIFTS,11316Hours,"Yuma,AZ,UnitedStates",MITSUBISHI FORKLIFTS FORKLIFTS FGC25N 2006,$Call,/en/MITSUBISHI%20FORKLIFTS/FORKLIFTS/FGC25N/2493924/detail_view.html,2006
